parcel_id,parcel_label,ArchiEmotional_emotional_expr_gt_control.nii,ArchiEmotional_emotional_face_gt_control.nii,ArchiStandard_audio_gt_baseline.nii,ArchiStandard_checkerboard_gt_baseline.nii,PreferenceFaces_face_gt_baseline.nii,RSVPLanguage_language_gt_baseline.nii,RSVPLanguage_sentence_complex_vs_pseudo.nii,RSVPLanguage_sentence_gt_word.nii
103,7Networks_LH_SalVentAttn_FrOperIns_7,0.028698948166611327,0.04571652055276534,0.01603477110370418,-0.023815906635642824,0.0001711220129743799,-0.007222405887003262,-0.056210739776951735,-0.0829010993723044
104,7Networks_LH_SalVentAttn_FrOperIns_8,0.07106345094615352,-0.11475208280723935,0.11294728765346075,-0.024546479378729186,-0.07250952765645235,-0.04973207855082252,0.10288441681768745,0.06658625195250577
105,7Networks_LH_SalVentAttn_FrOperIns_9,0.0012877504633095616,-0.11334290286362832,0.03901014612085682,-0.007528222068035216,0.04073335877682937,0.035573204312585587,0.033283301641098925,-0.08124371376406657
106,7Networks_LH_SalVentAttn_PFCl_1,0.008059734584091873,-0.060529756268684856,-0.006458888730992273,-0.018959179466998693,0.0,-0.015841080235698086,-0.023487132785567005,-0.005369531897843251
107,7Networks_LH_SalVentAttn_Med_1,0.006970176073726147,0.04235667386729697,-0.013032453116675323,0.1315074228355558,0.0,-0.06875847400638967,-0.07779962147392365,0.05141788601733134
108,7Networks_LH_SalVentAttn_Med_2,0.03928364198639922,0.0052962603696755,0.0002556591408751306,0.04328129073708052,0.0,-0.14570924014744482,-0.14867127383819648,0.049732986689711524
109,7Networks_LH_SalVentAttn_Med_3,0.06948804286356172,0.07764859192420041,-0.034491155282129024,0.0036118601919593713,-0.05445790002326461,-0.03489722056403785,-0.06572276402552048,0.15177793370943898
110,7Networks_LH_SalVentAttn_Med_4,0.0516405385193912,0.031784181790177,-0.06725050301156732,-0.042954263710144026,0.0,-0.06217217138530277,-0.034437614480506924,-0.005294549508535818
111,7Networks_LH_SalVentAttn_Med_5,-0.07458359301988564,0.061395191486675556,0.03475289424671119,-0.012331590315527491,0.16139587113637419,-0.09497146138290721,-0.10319224495597776,0.19094822074597081
112,7Networks_LH_SalVentAttn_Med_6,-0.001323184293227565,0.005209564823995937,0.05011829201346467,-0.11766801962275403,-0.001638413880409215,-0.007304423552959756,-0.002830979498949918,-0.0006875804177036991
113,7Networks_LH_SalVentAttn_Med_7,0.04747795029891248,-0.0515185291902965,0.0998435129209799,0.08986430858146806,-0.013424146355226122,-0.06711302379510184,-0.09638942475805337,0.12545383368972046
114,7Networks_LH_Limbic_OFC_1,0.042379041517570146,-0.08308816250635152,0.002608845693510031,0.015023642816413737,0.0,0.0011831193291925422,-0.001740339070931595,-0.00019341616040310708
115,7Networks_LH_Limbic_OFC_2,-0.0026335659097746324,0.007703948967452101,-0.03505919140931022,-0.019312649979082226,0.0,-0.0024817985476466354,0.016694653657277857,0.020664107205660698
116,7Networks_LH_Limbic_OFC_3,-0.002702117335069196,0.001989781290200694,1.9057712331669904e-06,6.959450289903639e-05,0.0,0.007099033303318485,0.008590138520516185,-0.002557404546416125
117,7Networks_LH_Limbic_OFC_4,-0.018438698280380594,-0.006542763211265472,0.0,0.0,0.0,-0.008169814918516418,-0.002427490368004768,0.0007744375444639663
118,7Networks_LH_Limbic_OFC_5,-0.007401245370045344,0.046613989091312605,0.00038050154185546804,-0.0005199489889119192,0.0,-0.04274215806055536,-0.033614763478884056,0.02883709102347309
119,7Networks_LH_Limbic_TempPole_1,0.01750744759775238,-0.05360473407621984,0.027227880414174684,-0.008405578411710237,0.0,-0.004117603063468809,0.015172063234368687,-0.00567549141212389
120,7Networks_LH_Limbic_TempPole_2,-0.0037196429953088657,-0.04481599811924607,-0.02748778829510438,0.0004709775929394014,0.0,-0.019514016774209105,-0.010183876056602613,0.014675532695762614
121,7Networks_LH_Limbic_TempPole_3,-0.02230250735141056,0.037283290490610715,-0.11069857992833754,-0.05858695514043563,0.0,-0.007799857539552904,-0.023376184627074647,0.039033541743175346
122,7Networks_LH_Limbic_TempPole_4,0.011220152501576508,-0.0070683695652892595,-0.0056089514248258325,-0.043856061441299325,-2.3328785725685745e-05,-0.05270226088035064,-0.06345412416749747,0.04132581802022723
123,7Networks_LH_Limbic_TempPole_5,0.010149541705234816,0.057891809563094164,-0.014683269758296582,-0.05743779579570248,0.007038071362733343,-0.0654490124636771,-0.07299681813360726,-0.01740037104552845
124,7Networks_LH_Limbic_TempPole_6,0.020715007137821463,-0.012944507404966112,-0.012103803632523483,0.015412565042248607,0.0,-0.012527059835919788,0.002610782483217577,0.017847391645546315
125,7Networks_LH_Limbic_TempPole_7,0.04187066322458973,0.038094418265155125,-0.004333672939150464,0.006489262877574274,0.0,-0.0034377921168780444,-0.0021391534772400387,-0.00486307880419552
126,7Networks_LH_Limbic_TempPole_8,0.05379452778014988,-0.0441185075998138,-0.04888681893799171,0.0987475494054783,0.0,-0.1417394365052295,-0.08887507228378472,0.0676861333038545
127,7Networks_LH_Cont_Par_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,7Networks_LH_Cont_Par_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,7Networks_LH_Cont_Par_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,7Networks_LH_Cont_Par_4,0.0,0.0,-0.06207056848051581,-0.028665684143350117,0.0,0.0,0.0,0.0
131,7Networks_LH_Cont_Par_5,0.0,0.0,-0.0008094529634494619,-0.0069736053431063635,0.0,0.0,0.0,0.0
132,7Networks_LH_Cont_Par_6,-0.0124454788521781,0.003768745484420016,-0.046209480480881866,-0.12246514309339131,0.002433640077486163,-0.016235458230764804,-0.006125802494868448,0.01950828698994238
133,7Networks_LH_Cont_Temp_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,7Networks_LH_Cont_OFC_1,0.023869244046095594,-0.025996505567289125,0.014611972753340904,0.03818551926509704,0.0,-0.02561796095715847,0.0020164935821656133,0.05428435528395968
